"location","cause","year","val"
"Benin","Maternal and neonatal disorders",2021,13939.8407028946
"Benin","Cardiovascular diseases",2021,12334.5577100002
"Benin","Respiratory infections and tuberculosis",2021,12182.6820028209
"Bermuda","Cardiovascular diseases",2020,222.269143900561
"Bermuda","Neoplasms",2020,185.137506416791
"Bermuda","Diabetes and kidney diseases",2020,45.2008784350299
"Bermuda","Cardiovascular diseases",2021,232.366178610028
"Bermuda","Neoplasms",2021,190.377417108988
"Bermuda","Diabetes and kidney diseases",2021,46.5800202300838
"Bhutan","Cardiovascular diseases",2020,1233.76663371491
"Bhutan","Chronic respiratory diseases",2020,579.682160548178
"Bhutan","Neoplasms",2020,491.110610018435
"Bhutan","Cardiovascular diseases",2021,1259.87307844685
"Bhutan","Chronic respiratory diseases",2021,588.278505105325
"Bhutan","Neoplasms",2021,506.074002904895
"Bolivia (Plurinational State of)","Cardiovascular diseases",2020,16625.0319235105
"Bolivia (Plurinational State of)","Neoplasms",2020,14500.641779882
"Bolivia (Plurinational State of)","Diabetes and kidney diseases",2020,8544.06650218726
"Bolivia (Plurinational State of)","Cardiovascular diseases",2021,17142.0313878994
"Bolivia (Plurinational State of)","Neoplasms",2021,14985.4185552568
"Bolivia (Plurinational State of)","Diabetes and kidney diseases",2021,8844.27757747007
"Bosnia and Herzegovina","Cardiovascular diseases",2020,19236.1867923141
"Bosnia and Herzegovina","Neoplasms",2020,9231.78751118611
"Bosnia and Herzegovina","Diabetes and kidney diseases",2020,2736.53241685501
"Bosnia and Herzegovina","Cardiovascular diseases",2021,19552.3714997563
"Bosnia and Herzegovina","Neoplasms",2021,9130.86521342781
"Bosnia and Herzegovina","Diabetes and kidney diseases",2021,2607.37151830661
"Botswana","HIV/AIDS and sexually transmitted infections",2020,6255.68463972953
"Botswana","Cardiovascular diseases",2020,3695.18456177681
"Botswana","Respiratory infections and tuberculosis",2020,2272.3584541918
"Botswana","HIV/AIDS and sexually transmitted infections",2021,7114.90694628074
"Botswana","Cardiovascular diseases",2021,3852.96796479115
"Botswana","Neoplasms",2021,2314.69854932791
"Brazil","Cardiovascular diseases",2020,403822.162178681
"Brazil","Neoplasms",2020,271100.803705458
"Brazil","Diabetes and kidney diseases",2020,111153.947891332
"Brazil","Cardiovascular diseases",2021,412640.016885538
"Brazil","Neoplasms",2021,277019.099687372
"Brazil","Diabetes and kidney diseases",2021,114579.78077218
"Brunei Darussalam","Neoplasms",2020,550.215582276447
"Brunei Darussalam","Cardiovascular diseases",2020,524.266231452016
"Brunei Darussalam","Diabetes and kidney diseases",2020,249.775692284406
"Brunei Darussalam","Neoplasms",2021,570.936060158387
"Brunei Darussalam","Cardiovascular diseases",2021,545.50013785997
"Brunei Darussalam","Diabetes and kidney diseases",2021,254.379911896158
"Bulgaria","Cardiovascular diseases",2020,83380.544919933
"Bulgaria","Neoplasms",2020,19920.7878094437
"Bulgaria","Digestive diseases",2020,4730.94912370754
"Bulgaria","Cardiovascular diseases",2021,86650.9905489242
"Bulgaria","Neoplasms",2021,18504.5148346651
"Bulgaria","Digestive diseases",2021,4810.82586452424
"Burkina Faso","Respiratory infections and tuberculosis",2020,34634.9943598311
"Burkina Faso","Cardiovascular diseases",2020,22761.9981916419
"Burkina Faso","Maternal and neonatal disorders",2020,22308.8135308816
"Burkina Faso","Respiratory infections and tuberculosis",2021,35905.6661260685
"Burkina Faso","Cardiovascular diseases",2021,23366.5613212218
"Burkina Faso","Maternal and neonatal disorders",2021,22873.6225208367
"Burundi","Respiratory infections and tuberculosis",2020,15653.150235424
"Burundi","Cardiovascular diseases",2020,11438.7985959842
"Burundi","Maternal and neonatal disorders",2020,9669.76083357314
"Burundi","Respiratory infections and tuberculosis",2021,15975.6839166324
"Burundi","Cardiovascular diseases",2021,11967.7474388593
"Burundi","Neglected tropical diseases and malaria",2021,9816.33104646451
"Côte d'Ivoire","Respiratory infections and tuberculosis",2020,24662.9403306265
"Côte d'Ivoire","Maternal and neonatal disorders",2020,24373.721314868
"Côte d'Ivoire","Cardiovascular diseases",2020,22963.3352627219
"Côte d'Ivoire","Respiratory infections and tuberculosis",2021,24317.7312560322
"Côte d'Ivoire","Cardiovascular diseases",2021,23416.6414462483
"Côte d'Ivoire","Maternal and neonatal disorders",2021,23355.554542822
"Cabo Verde","Cardiovascular diseases",2020,1163.60581766847
"Cabo Verde","Neoplasms",2020,755.375337575227
"Cabo Verde","Respiratory infections and tuberculosis",2020,401.005360516322
"Cabo Verde","Cardiovascular diseases",2021,1252.58057841456
"Cabo Verde","Neoplasms",2021,811.792525916708
"Cabo Verde","Respiratory infections and tuberculosis",2021,437.200909607797
"Cambodia","Cardiovascular diseases",2020,31620.179018375
"Cambodia","Respiratory infections and tuberculosis",2020,19620.1912591437
"Cambodia","Neoplasms",2020,15211.8301304982
"Cambodia","Cardiovascular diseases",2021,32829.1218679293
"Cambodia","Respiratory infections and tuberculosis",2021,20407.7845639153
"Cambodia","Neoplasms",2021,15866.41792388
"Cameroon","Cardiovascular diseases",2020,26819.3003847198
"Cameroon","Respiratory infections and tuberculosis",2020,22651.1260044777
"Cameroon","Neglected tropical diseases and malaria",2020,20208.2088281457
"Cameroon","Cardiovascular diseases",2021,27216.8948818505
"Cameroon","Respiratory infections and tuberculosis",2021,21611.4053789994
"Cameroon","Neglected tropical diseases and malaria",2021,19268.2674577992
"Canada","Neoplasms",2020,94182.4738100962
"Canada","Cardiovascular diseases",2020,86486.6063875731
"Canada","Neurological disorders",2020,24991.960624505
"Canada","Neoplasms",2021,96454.5461596194
"Canada","Cardiovascular diseases",2021,91173.7537372587
"Canada","Neurological disorders",2021,25870.6859983085
"Central African Republic","Respiratory infections and tuberculosis",2020,14100.9347810445
"Central African Republic","Enteric infections",2020,9108.1983830342
"Central African Republic","Cardiovascular diseases",2020,7476.97073031523
"Central African Republic","Respiratory infections and tuberculosis",2021,13857.2191853735
"Central African Republic","Enteric infections",2021,9205.35894495474
"Central African Republic","Cardiovascular diseases",2021,7677.76265317188
"Chad","Enteric infections",2020,30611.0756056392
"Chad","Respiratory infections and tuberculosis",2020,25968.0341275355
"Chad","Maternal and neonatal disorders",2020,21194.7216513346
"Chad","Enteric infections",2021,29698.010730908
"Chad","Respiratory infections and tuberculosis",2021,25873.7212087365
"Chad","Maternal and neonatal disorders",2021,21699.2857789396
"Chile","Neoplasms",2020,32448.6018846622
"Chile","Cardiovascular diseases",2020,30291.0610315014
"Chile","Diabetes and kidney diseases",2020,9016.47963414781
"Chile","Neoplasms",2021,33374.9292916483
"Chile","Cardiovascular diseases",2021,30964.4843089669
"Chile","Diabetes and kidney diseases",2021,9266.99565422317
"China","Cardiovascular diseases",2020,4584757.85093944
"China","Neoplasms",2020,2700496.23542782
"China","Chronic respiratory diseases",2020,1072111.41475971
"China","Cardiovascular diseases",2021,4639288.73915013
"China","Neoplasms",2021,2752205.29582292
"China","Chronic respiratory diseases",2021,1092162.83448644
"Colombia","Cardiovascular diseases",2020,73599.1203603463
"Colombia","Neoplasms",2020,50457.3428606497
"Colombia","Self-harm and interpersonal violence",2020,22167.9478209788
"Colombia","Cardiovascular diseases",2021,75987.9578751552
"Colombia","Neoplasms",2021,51915.1764840663
"Colombia","Self-harm and interpersonal violence",2021,24073.3114142284
"Comoros","Cardiovascular diseases",2020,1227.50946363802
"Comoros","Respiratory infections and tuberculosis",2020,866.990619639824
"Comoros","Neoplasms",2020,592.437999993061
"Comoros","Cardiovascular diseases",2021,1279.12862091532
"Comoros","Respiratory infections and tuberculosis",2021,900.170622397892
"Comoros","Neoplasms",2021,620.055675613177
"Congo","Cardiovascular diseases",2020,7491.33816083387
"Congo","HIV/AIDS and sexually transmitted infections",2020,4564.87562698485
"Congo","Respiratory infections and tuberculosis",2020,4238.55264548714
"Congo","Cardiovascular diseases",2021,7819.9850186397
"Congo","HIV/AIDS and sexually transmitted infections",2021,4581.59560942096
"Congo","Respiratory infections and tuberculosis",2021,4371.22875414048
"Cook Islands","Cardiovascular diseases",2020,61.9862323330131
"Cook Islands","Diabetes and kidney diseases",2020,34.2963554201598
"Cook Islands","Neoplasms",2020,32.9264244870503
"Cook Islands","Cardiovascular diseases",2021,64.1522962630019
"Cook Islands","Diabetes and kidney diseases",2021,35.1175297026169
"Cook Islands","Neoplasms",2021,33.8221932703872
"Costa Rica","Cardiovascular diseases",2020,7267.25607864513
"Costa Rica","Neoplasms",2020,6458.30719248491
"Costa Rica","Diabetes and kidney diseases",2020,2087.97961923697
"Costa Rica","Cardiovascular diseases",2021,7704.22695341909
"Costa Rica","Neoplasms",2021,6773.62546136498
"Costa Rica","Diabetes and kidney diseases",2021,2206.91086815259
"Croatia","Cardiovascular diseases",2020,24461.0322418123
"Croatia","Neoplasms",2020,13877.150159041
"Croatia","Neurological disorders",2020,3015.80746593105
"Croatia","Cardiovascular diseases",2021,24696.4933819608
"Croatia","Neoplasms",2021,13663.9488450939
"Croatia","Neurological disorders",2021,3121.75549700391
"Cuba","Cardiovascular diseases",2020,43356.7551584656
"Cuba","Neoplasms",2020,28941.6719180977
"Cuba","Respiratory infections and tuberculosis",2020,7946.07447653389
"Cuba","Cardiovascular diseases",2021,45362.0903303295
"Cuba","Neoplasms",2021,29615.4145710899
"Cuba","Respiratory infections and tuberculosis",2021,8424.82004151619
"Cyprus","Cardiovascular diseases",2020,3137.62166909071
"Cyprus","Neoplasms",2020,2306.97326238286
"Cyprus","Diabetes and kidney diseases",2020,820.825270304062
"Cyprus","Cardiovascular diseases",2021,3245.5013336371
"Cyprus","Neoplasms",2021,2341.31081249403
"Cyprus","Diabetes and kidney diseases",2021,839.068512762004
"Czechia","Cardiovascular diseases",2020,51966.9668985527
"Czechia","Neoplasms",2020,29732.7482999203
"Czechia","Neurological disorders",2020,7046.24247347992
"Czechia","Cardiovascular diseases",2021,52996.9355204547
"Czechia","Neoplasms",2021,29499.0060202701
"Czechia","Neurological disorders",2021,7297.0465715233
"Democratic People's Republic of Korea","Cardiovascular diseases",2020,102481.068505744
"Democratic People's Republic of Korea","Neoplasms",2020,41210.8856746897
"Democratic People's Republic of Korea","Nutritional deficiencies",2020,35292.983541796
"Democratic People's Republic of Korea","Cardiovascular diseases",2021,103004.464085808
"Democratic People's Republic of Korea","Nutritional deficiencies",2021,53851.9104231913
"Democratic People's Republic of Korea","Neoplasms",2021,41622.137660907
"Democratic Republic of the Congo","Cardiovascular diseases",2020,90961.4241228294
"Democratic Republic of the Congo","Respiratory infections and tuberculosis",2020,84325.4521810312
"Democratic Republic of the Congo","Neglected tropical diseases and malaria",2020,48642.823344771
"Democratic Republic of the Congo","Cardiovascular diseases",2021,93163.662105133
"Democratic Republic of the Congo","Respiratory infections and tuberculosis",2021,79183.374089028
"Democratic Republic of the Congo","Maternal and neonatal disorders",2021,42549.4187449992
"Denmark","Neoplasms",2020,18490.8946243007
"Denmark","Cardiovascular diseases",2020,15937.5802010965
"Denmark","Chronic respiratory diseases",2020,4781.85188061991
"Denmark","Neoplasms",2021,18704.125420999
"Denmark","Cardiovascular diseases",2021,16706.2806590177
"Denmark","Chronic respiratory diseases",2021,4948.69912144958
"Djibouti","Cardiovascular diseases",2020,1287.92991750404
"Djibouti","Respiratory infections and tuberculosis",2020,980.396104371734
"Djibouti","Neoplasms",2020,773.726647315915
"Djibouti","Cardiovascular diseases",2021,1345.79088454231
"Djibouti","Respiratory infections and tuberculosis",2021,950.230029674264
"Djibouti","Neoplasms",2021,809.692220692715
"Dominica","Cardiovascular diseases",2020,247.56997791378
"Dominica","Neoplasms",2020,185.521981262647
"Dominica","Diabetes and kidney diseases",2020,101.682311682056
"Dominica","Cardiovascular diseases",2021,251.263597508292
"Dominica","Neoplasms",2021,188.112671960227
"Dominica","Diabetes and kidney diseases",2021,103.170985330311
"Dominican Republic","Cardiovascular diseases",2020,28433.4777597896
"Dominican Republic","Neoplasms",2020,11243.546235882
"Dominican Republic","Diabetes and kidney diseases",2020,5456.61097773304
"Dominican Republic","Cardiovascular diseases",2021,28853.2686810303
"Dominican Republic","Neoplasms",2021,11479.503057303
"Dominican Republic","Diabetes and kidney diseases",2021,5524.13889424377
"Ecuador","Cardiovascular diseases",2020,21781.7642197409
"Ecuador","Neoplasms",2020,17342.6842207568
"Ecuador","Diabetes and kidney diseases",2020,11634.3379229471
"Ecuador","Cardiovascular diseases",2021,22089.7285256589
"Ecuador","Neoplasms",2021,17389.4670939711
"Ecuador","Diabetes and kidney diseases",2021,11564.2335855248
"Egypt","Cardiovascular diseases",2020,270665.272200519
"Egypt","Digestive diseases",2020,70826.4298855766
"Egypt","Neoplasms",2020,58945.8303276196
"Egypt","Cardiovascular diseases",2021,275669.482645444
"Egypt","Digestive diseases",2021,72367.661554236
"Egypt","Neoplasms",2021,60035.4134270067
"El Salvador","Cardiovascular diseases",2020,10226.4138175299
"El Salvador","Diabetes and kidney diseases",2020,6404.30489046604
"El Salvador","Neoplasms",2020,6070.702307912
"El Salvador","Cardiovascular diseases",2021,10597.864764858
"El Salvador","Diabetes and kidney diseases",2021,6433.31064740272
"El Salvador","Neoplasms",2021,6261.14658590892
"Equatorial Guinea","HIV/AIDS and sexually transmitted infections",2020,2187.01489806091
"Equatorial Guinea","Cardiovascular diseases",2020,1042.66168277428
"Equatorial Guinea","Neglected tropical diseases and malaria",2020,795.471584634043
"Equatorial Guinea","HIV/AIDS and sexually transmitted infections",2021,2147.31064504563
"Equatorial Guinea","Cardiovascular diseases",2021,1105.2547580232
"Equatorial Guinea","Neglected tropical diseases and malaria",2021,811.190728597693
"Eritrea","Respiratory infections and tuberculosis",2020,8618.83483877861
"Eritrea","Cardiovascular diseases",2020,6791.07300085492
"Eritrea","Enteric infections",2020,4031.0801068815
"Eritrea","Respiratory infections and tuberculosis",2021,8327.53875323091
"Eritrea","Cardiovascular diseases",2021,6975.23884730148
"Eritrea","Neoplasms",2021,3806.31849343353
"Estonia","Cardiovascular diseases",2020,8497.14632442115
"Estonia","Neoplasms",2020,3809.10891018643
"Estonia","Neurological disorders",2020,1014.27035014391
"Estonia","Cardiovascular diseases",2021,8830.34443340861
"Estonia","Neoplasms",2021,3782.47258766886
"Estonia","Neurological disorders",2021,1058.64493065384
"Eswatini","Cardiovascular diseases",2020,1390.7800212929
"Eswatini","Neoplasms",2020,900.105550943235
"Eswatini","Respiratory infections and tuberculosis",2020,897.04624414216
"Eswatini","Cardiovascular diseases",2021,1356.28385008234
"Eswatini","Neoplasms",2021,879.68646214468
"Eswatini","Diabetes and kidney diseases",2021,816.994902037753
"Ethiopia","Cardiovascular diseases",2020,81480.119267087
"Ethiopia","Maternal and neonatal disorders",2020,81281.854722077
"Ethiopia","Respiratory infections and tuberculosis",2020,80935.1954015112
"Ethiopia","Cardiovascular diseases",2021,85473.4311290368
"Ethiopia","Respiratory infections and tuberculosis",2021,83553.8471635642
"Ethiopia","Maternal and neonatal disorders",2021,78001.2996676467
"Fiji","Cardiovascular diseases",2020,2746.0681576583
"Fiji","Diabetes and kidney diseases",2020,2037.02412158104
"Fiji","Neoplasms",2020,828.432343736504
"Fiji","Cardiovascular diseases",2021,2817.0453692405
"Fiji","Diabetes and kidney diseases",2021,2064.63441600414
"Fiji","Neoplasms",2021,841.754371592296
"Finland","Cardiovascular diseases",2020,25749.3026373223
"Finland","Neoplasms",2020,14824.4288507952
"Finland","Neurological disorders",2020,4909.02063897664
