measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,China,Both,All Ages,Larynx cancer,Number,1991,11631.536735081447,12170.355379246477,11199.686915113749
Deaths,China,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,1991,247859.46960246254,262649.90996010404,238132.7333149163
Deaths,China,Both,All Ages,Breast cancer,Number,1991,41224.19998179946,51119.252738687785,37707.780324182044
Deaths,China,Both,All Ages,Cervical cancer,Number,1991,24571.474070262302,36600.1932112378,22381.00687687263
Deaths,China,Both,All Ages,"Endocrine, metabolic, blood, and immune disorders",Number,1991,12613.783158560658,15639.811744329096,9607.392749401402
Deaths,China,Both,All Ages,Rheumatoid arthritis,Number,1991,4836.195306567096,6221.842813193376,4275.012008238618
Deaths,China,Both,All Ages,Other musculoskeletal disorders,Number,1991,4742.476706175365,7048.251119820796,4024.3428053784805
Deaths,China,Both,All Ages,Congenital birth defects,Number,1991,156451.6772814836,170424.38599073098,143293.81361637355
Deaths,China,Both,All Ages,Whooping cough,Number,1994,22553.129275244784,67134.05401964481,2131.2576788717
Deaths,China,Both,All Ages,Tetanus,Number,1994,11986.8358644266,14004.712523174807,10389.241164237501
Deaths,China,Both,All Ages,Measles,Number,1994,17931.910878856084,38280.60861432317,6491.107475002014
Deaths,China,Both,All Ages,Varicella and herpes zoster,Number,1994,2450.919876366154,2675.559596608936,2249.930167079267
Deaths,China,Both,All Ages,Malaria,Number,1994,156.93273956366116,251.61240167091387,99.62505496311466
Deaths,China,Both,All Ages,Chagas disease,Number,1994,0.0,0.0,0.0
Deaths,China,Both,All Ages,Leishmaniasis,Number,1994,1217.1209838253174,7322.072231865233,0.3581015259386672
Deaths,China,Both,All Ages,African trypanosomiasis,Number,1994,0.0,0.0,0.0
Deaths,China,Both,All Ages,Schistosomiasis,Number,1994,1552.0396166796666,1761.2518760318137,1395.4226459062902
Deaths,China,Both,All Ages,Cysticercosis,Number,1994,83.50351458112657,119.59759791180542,51.66152059483059
Deaths,China,Both,All Ages,Cystic echinococcosis,Number,1994,39.697283714468,47.49821847349042,32.38312908364548
Deaths,China,Both,All Ages,Dengue,Number,1994,7.46169819189432,17.36957836488426,3.765376724857415
Deaths,China,Both,All Ages,Yellow fever,Number,1994,0.0,0.0,0.0
Deaths,China,Both,All Ages,Rabies,Number,1994,1006.7212834632701,2578.641505672299,795.8956206729115
Deaths,China,Both,All Ages,Intestinal nematode infections,Number,1994,652.4036165805184,770.0568163397344,540.9353743650864
Deaths,China,Both,All Ages,Other neglected tropical diseases,Number,1994,935.656606040584,1334.2828391496441,519.3064228386081
Deaths,China,Both,All Ages,Maternal disorders,Number,1994,19907.728461643008,21287.735113313352,18475.294690169416
Deaths,China,Both,All Ages,Epilepsy,Number,1994,22011.790713544844,24867.20309763699,18451.254698248747
Deaths,China,Both,All Ages,Multiple sclerosis,Number,1994,1360.7407181089352,1624.0158125410937,1005.036110363592
Deaths,China,Both,All Ages,Motor neuron disease,Number,1994,1108.1798197950425,1606.3021561500416,934.0199674655385
Deaths,China,Both,All Ages,Other neurological disorders,Number,1994,5735.83853328735,6688.438891934138,4067.4025079577373
Deaths,China,Both,All Ages,Alcohol use disorders,Number,1994,9429.100822259297,13379.052825252922,8564.71747660002
Deaths,United States,Both,All Ages,Colon and rectum cancer,Number,1991,69536.24293500667,70303.53357531756,68875.76665962121
Deaths,United States,Both,All Ages,Lip and oral cavity cancer,Number,1991,5703.956357306165,5782.022962230284,5628.728362864832
Deaths,United States,Both,All Ages,Nasopharynx cancer,Number,1991,974.5196489701918,991.0638829825681,958.5375874039194
Deaths,United States,Both,All Ages,Other pharynx cancer,Number,1991,2601.750423731166,2651.1501867733973,2550.467330288215
Deaths,United States,Both,All Ages,Gallbladder and biliary tract cancer,Number,1991,4233.300505878428,4324.563074676,3906.433247325022
Deaths,United States,Both,All Ages,Pancreatic cancer,Number,1991,28522.979392755788,28777.964485404427,28245.56235716069
Deaths,United States,Both,All Ages,Malignant skin melanoma,Number,1991,6561.777881190341,8194.58009132871,4899.22795045664
Deaths,United States,Both,All Ages,Non-melanoma skin cancer,Number,1991,2217.355619098542,2255.1006876286447,2178.2729467906497
Deaths,United States,Both,All Ages,Decubitus ulcer,Number,1991,1125.2339774481834,1903.4500821143906,500.9363497537729
Deaths,United States,Both,All Ages,Other skin and subcutaneous diseases,Number,1991,220.06226158287313,439.3649738785672,104.97313162175932
Deaths,United States,Both,All Ages,Sudden infant death syndrome,Number,1991,4826.241962474551,5186.752915304211,3484.852686475033
Deaths,United States,Both,All Ages,Road injuries,Number,1991,47979.8678863951,48438.789219392085,47496.59562579454
Deaths,Canada,Both,All Ages,HIV/AIDS,Number,1991,938.8436168589606,972.012691635,906.2700647974999
Deaths,Canada,Both,All Ages,Diarrheal diseases,Number,1991,51.247412350624195,55.96915820897313,46.561600483821756
Deaths,Canada,Both,All Ages,Other intestinal infectious diseases,Number,1991,1.4455642340916108,2.087469859083102,0.8678943171781086
Deaths,Canada,Both,All Ages,Lower respiratory infections,Number,1991,5867.8257973561,6042.409441519176,5688.971744374838
